"","smart_1_normalized","smart_3_normalized","smart_5_normalized","smart_7_normalized","time_day","smart_192_normalized","smart_193_normalized","smart_194_normalized","smart_197_normalized","smart_198_normalized","model_Bin"
"1","1","0.75","1","0.75",366.958333333333,"1","1","1","1","0.96","other"
"2","0.25","0.25","0.75","0.75",801.916666666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"3","0.5","0.25","0.75","0.25",674.041666666667,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"4","0.75","0.25","0.75","0.75",872.041666666667,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"5","0.5","0.75","0.75","0.25",259.458333333333,"0.75","0.75","0.25","0.75","0.01","ST40000DM000"
"6","0.75","0.75","0.75","0.75",422.333333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"7","0.25","1","0.75","0.75",1027.58333333333,"0.75","1","1","0.75","0.96","other"
"8","0.75","0.5","0.75","0.75",902.833333333333,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"9","0.5","0.25","0.75","0.75",354.166666666667,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"10","0.75","0.25","0.75","0.25",729.125,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"11","1","0.75","1","0.75",107.25,"1","1","1","1","0.96","other"
"12","0.25","0.25","0.75","0.25",730.5,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"13","0.75","0.5","0.75","0.75",445.625,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"14","0.25","1","0.75","0.75",1884.875,"0.75","0.75","1","0.75","0.96","other"
"15","0.25","0.75","0.75","0.75",746.041666666667,"0.75","0.75","1","0.75","0.96","other"
"16","0.25","0.75","0.75","0.25",90.375,"0.75","1","0.75","0.75","0.96","ST40000DM000"
"17","0.5","0.5","0.75","0.75",11.4166666666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"18","1","1","1","1",394.875,"1","1","1","1","0.96","other"
"19","0.25","1","0.75","0.75",1886.875,"0.75","0.75","1","0.75","0.96","other"
"20","0.25","1","0.75","0.75",1763.83333333333,"0.75","0.75","1","0.75","0.96","other"
