date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,time_day,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_196_normalized,smart_197_normalized,smart_198_normalized,smart_200_normalized,smart_254_normalized,end_date,vida_util_days,vida_util_restante,vida_util_restante_int
2016-01-01,Z300ZST1,ST4000DM000,1.976651427858e-311,0,120,,91,100,84,,695.1666666666666,100.0,91.0,24.0,,,100,100,,,2016-01-17,711.1666666666666,16 days 00:00:00.000000000,16.0
2016-01-01,9VY8TCAV,ST3160318AS,7.9071197618e-313,0,111,,97,100,87,,1854.9583333333333,,,25.0,47.0,,100,100,,,2016-04-09,1953.125,99 days 00:00:00.000000000,99.0
2016-01-01,W300BG0H,ST4000DM000,1.976651427858e-311,0,118,,91,100,87,,844.4166666666666,100.0,96.0,19.0,,,100,100,,,2016-04-18,952.375,108 days 00:00:00.000000000,108.0
2016-01-01,W300J6FX,ST4000DM000,1.976651427858e-311,0,115,,92,100,87,,844.6666666666666,100.0,97.0,19.0,,,100,100,,,2016-04-09,943.6666666666666,99 days 00:00:00.000000000,99.0
2016-01-01,Z3014A4S,ST4000DM000,1.976651427858e-311,0,116,,91,100,84,,704.9583333333334,100.0,99.0,33.0,,,100,100,,,2016-01-10,714.0,9 days 00:00:00.000000000,9.0
2016-01-01,Z4D045CF,ST6000DX000,2.9649744644415e-311,0,116,,88,100,90,,512.0,100.0,98.0,25.0,66.0,,100,100,,,2016-04-05,606.9166666666666,95 days 00:00:00.000000000,95.0
2016-01-01,Z4D04BH9,ST6000DX000,2.9649744644415e-311,0,115,,89,100,77,,275.4583333333333,100.0,98.0,26.0,65.0,,100,100,,,2016-04-05,370.4166666666667,95 days 00:00:00.000000000,95.0
2016-01-01,Z3013TQV,ST4000DM000,1.976651427858e-311,0,108,,91,100,85,,732.8333333333334,100.0,100.0,17.0,,,100,100,,,2016-01-11,742.8333333333334,10 days 00:00:00.000000000,10.0
2016-01-01,WD-WX11D84JN1EP,WDC WD60EFRX,2.9649744644415e-311,0,200,,202,200,100,,390.875,200.0,200.0,125.0,,200.0,200,100,100.0,,2016-01-05,394.875,4 days 00:00:00.000000000,4.0
2016-01-01,W0Q26EE1,ST320LT007,1.581370405447e-312,0,118,,98,100,87,,857.2083333333334,100.0,63.0,25.0,51.0,,100,100,,100.0,2016-01-21,877.4583333333334,20 days 00:00:00.000000000,20.0
2016-01-01,Z300PM99,ST4000DM000,1.976651427858e-311,0,118,,92,100,86,,797.2083333333334,100.0,88.0,31.0,,,100,100,,,2016-04-06,893.1666666666666,96 days 00:00:00.000000000,96.0
2016-01-01,Z300GYM0,ST4000DM000,1.976651427858e-311,0,118,,91,100,84,,890.0833333333334,100.0,91.0,28.0,,,100,100,,,2016-04-01,981.0,91 days 00:00:00.000000000,91.0
2016-01-01,JK1105B8J10GXX,Hitachi HDS722020ALA330,9.88328391275e-312,0,97,100.0,119,100,100,100.0,1696.5416666666667,100.0,100.0,250.0,,100.0,100,100,,,2016-01-13,1708.5,12 days 00:00:00.000000000,12.0
2016-01-01,WD-WCC4M3TTXF1Y,WDC WD20EFRX,9.88328391275e-312,0,200,,100,200,100,,105.25,200.0,200.0,128.0,,200.0,200,100,100.0,,2016-01-03,107.25,2 days 00:00:00.000000000,2.0
2016-01-01,Z3015CR3,ST4000DM000,1.976651427858e-311,0,106,,91,100,85,,732.625,100.0,100.0,21.0,,,100,100,,,2016-01-06,737.625,5 days 00:00:00.000000000,5.0
2016-01-01,WD-WMC4N0727496,WDC WD30EFRX,1.4824899095664e-311,0,200,,100,200,100,,71.33333333333333,200.0,200.0,125.0,,200.0,200,100,100.0,,2016-04-25,186.125,115 days 00:00:00.000000000,115.0
2016-01-01,WD-WMAV3K823369,WDC WD1600AAJB,7.9071197618e-313,0,200,,139,200,200,,1178.625,200.0,200.0,107.0,,200.0,200,100,100.0,,2016-04-13,1281.4166666666667,103 days 00:00:00.000000000,103.0
2016-01-01,Z3015C7D,ST4000DM000,1.976651427858e-311,0,119,,92,100,85,,731.2083333333334,100.0,100.0,34.0,,,100,100,,,2016-04-18,839.1666666666666,108 days 00:00:00.000000000,108.0
2016-01-01,W300SSCN,ST4000DM000,1.976651427858e-311,0,117,,99,100,84,,232.375,100.0,100.0,18.0,,,100,100,,,2016-01-19,250.41666666666666,18 days 00:00:00.000000000,18.0
2016-01-01,Z300GZ7X,ST4000DM000,1.976651427858e-311,0,114,,92,100,87,,899.9583333333334,100.0,93.0,27.0,,,100,100,,,2016-04-11,1000.9166666666666,101 days 00:00:00.000000000,101.0
2016-01-01,W300J9JA,ST4000DM000,1.976651427858e-311,0,117,,91,100,86,,812.0833333333334,100.0,95.0,20.0,,,100,100,,,2016-04-01,902.9583333333334,91 days 00:00:00.000000000,91.0
2016-01-01,Z300XBVK,ST4000DM000,1.976651427858e-311,0,115,,92,100,88,,607.375,100.0,93.0,28.0,,,100,100,,,2016-04-11,708.3333333333334,101 days 00:00:00.000000000,101.0
2016-01-01,Z300X7EZ,ST4000DM000,1.976651427858e-311,0,115,,92,100,85,,749.125,100.0,97.0,29.0,,,100,100,,,2016-01-06,754.0833333333334,5 days 00:00:00.000000000,5.0
2016-01-01,W300B34S,ST4000DM000,1.976651427858e-311,0,119,,92,100,88,,932.2916666666666,100.0,94.0,29.0,,,100,100,,,2016-04-06,1028.25,96 days 00:00:00.000000000,96.0
2016-01-01,S301146W,ST4000DM000,1.976651427858e-311,0,112,,97,100,84,,258.4583333333333,100.0,91.0,21.0,,,81,81,,,2016-01-02,259.4583333333333,1 days 00:00:00.000000000,1.0
2016-01-01,JK1105B8GA6AYX,Hitachi HDS722020ALA330,9.88328391275e-312,0,100,100.0,115,100,100,100.0,1882.875,99.0,99.0,181.0,,100.0,100,100,,,2016-01-05,1886.875,4 days 00:00:00.000000000,4.0
2016-01-01,S300Z46R,ST4000DM000,1.976651427858e-311,0,116,,97,100,81,,167.29166666666666,100.0,81.0,35.0,,,100,100,,,2016-04-15,272.2916666666667,105 days 00:00:00.000000000,105.0
2016-01-01,Z3026YZN,ST4000DM000,1.976651427858e-311,0,115,,93,100,86,,348.2916666666667,100.0,99.0,22.0,,,100,100,,,2016-04-06,444.2916666666667,96 days 00:00:00.000000000,96.0
2016-01-01,W300BT0J,ST4000DM000,1.976651427858e-311,0,112,,92,100,87,,923.2083333333334,100.0,81.0,25.0,,,100,100,,,2016-04-15,1028.1666666666667,105 days 00:00:00.000000000,105.0
2016-01-01,S300XR31,ST4000DM000,1.976651427858e-311,0,114,,99,100,87,,389.25,100.0,100.0,33.0,,,100,100,,,2016-04-04,483.2083333333333,94 days 00:00:00.000000000,94.0
2016-01-01,WD-WCAYUEH97566,WDC WD1600AAJS,7.9071197618e-313,0,200,,138,200,200,,1482.7916666666667,200.0,200.0,107.0,,200.0,200,200,200.0,,2016-04-13,1585.4583333333333,103 days 00:00:00.000000000,103.0
2016-01-01,WD-WMC4N2523398,WDC WD30EFRX,1.4824899095664e-311,0,200,,178,200,100,,485.25,200.0,200.0,127.0,,200.0,200,100,100.0,,2016-04-22,597.0416666666666,112 days 00:00:00.000000000,112.0
2016-01-01,WD-WX71A9290300,WDC WD3200BEKT,1.581370405447e-312,0,200,,162,200,100,,818.8333333333334,200.0,126.0,110.0,,200.0,200,100,100.0,200.0,2016-04-09,916.6666666666666,99 days 00:00:00.000000000,99.0
2016-01-01,Z300PMEL,ST4000DM000,1.976651427858e-311,0,120,,92,100,86,,798.5,100.0,93.0,30.0,,,100,100,,,2016-04-08,896.4583333333334,98 days 00:00:00.000000000,98.0
